original_tweets,tweets_in_english,feeling
rt @army_htp: todo tipo de apoio é uma grande ajuda para o recomeço de alguém. suicídio nunca foi frescura. com depressão ou ansiedade não…,RT @army_htp: All kinds of support is a great help for someone's freshness.Suicide has never been fresh.With depression or anxiety not ...,pos
"rt @cvvoficial: suicídio não tem a ver com coragem ou com fraqueza. tem a ver com desespero, com desesperança... às vezes, está relacionado…","RT @cvovoficial: Suicide has nothing to do with courage or weakness.It has to do with despair, with hopelessness ... Sometimes it is related ...",pos
"@felipeneto hoje, dia 10 de setembro, é o dia mundial de prevenção ao suicídio. 
palavra dura de falar né?! mas esse assunto é necessário e urgente, principalmente diante da toxidade da internet. isso precisa parar! @felipeneto","@Felipeneto Today, on September 10, it is the World Day of Prevention for Suicide.
Word hard to talk, right?!But this matter is necessary and urgent, especially in the face of the toxicity of the Internet.That needs to stop!@Felipeneto",pos
segundo minhas notas a última vez que tentei suicídio antes de conhecer o bruno foi no dia 24 de setembro,According to my notes the last time I tried suicide before meeting Bruno was on September 24th,pos
"rt @saudegovrj: hoje é o dia mundial de prevenção ao suicídio, um problema tratado como tabu, mas que merece a atenção de todos. um dos púb…","RT @saudegovrj: Today is the World Day of Suicide Prevention, a problem treated as taboo, but that deserves the attention of all.One of the pub ...",pos
"rt @quebrandootabu: hoje, 10 de setembro, é o dia mundial de prevenção ao suicídio. 

emprego, comida no prato, acesso à saúde pública de q…","RT @QueBrandootabu: Today, September 10, is the World Day of Suicide Prevention.

Job, food on the plate, access to public health than ...",pos
@maiasuelen_ cometo suicídio 😁,@Maiasuelen_ Comet suicide 😁,neg
"rt @contextcars: tw: suicídio
bom dia, tarde ou noite, devido ao mês da prevenção ao suicídio, vim aqui contar um pouco da origem dele, que…","RT @ContextCars: TW: suicide
Good morning, afternoon or night, due to the month of suicide prevention, I came here to tell a little of his origin, that ...",neg
hmmm que vontade de cometer suicidio,hmmm you will to commit suicide,neg
"suicídio, ansiedade...saúde mental não é brincadeira. procure um/x psicólogo/x qualificado. você não precisa ficar sofrendo","Suicide, anxiety ... Mental health is no joke.Look for a qualified psychologist / x.You do not have to be suffering.",pos
"rt @bruxinhwa: a juliette falando sobre o suicídio e vem gente assim: vc é tão necesaria, pena que seus fãs não seguem seu exemplo

vsf o a…","RT @bruxinhwa: Juliette talking about suicide and comes people like this: You're so needy, sorry your fans do not follow your example

vsf o ...",pos
"a gente precisa começar a conversar sobre suicídio no contexto de violência doméstica, quando mulheres, diante de tanto sofrimento e de tanto pavor das ameaças recebidas toda vez que tentam terminar a relação, decidem encerrar suas próprias vidas.

dia de prevenção ao suicídio","We need to start talking about suicide in the context of domestic violence, when women, in the face of so much suffering and so much dread of the threats received every time they try to finish the relationship, decide to close their own lives.

Suicide Prevention Day",pos
"rt @ifoundallon: tw suicídio
.
.
.
.
.
eu tava lendo um post sobre o quanto pacientes que tentaram suicídio são desrespeitados pelos profis…","RT @IFoundAllon: TW Suicide
.
.
.
.
.
I was reading a post about how much patients who tried suicide are disrespected by the professions ...",neg
"@felipeneto acho desnecessario as indiretas do @felipeneto  para o @whindersson , como "" cuide da sua saude"" , "" terapia"" e etc. hoje, dia 10 de setembro, é o dia mundial de prevenção ao suicídio. 
palavra dura de falar né?! mas esse assunto é necessário e urgente, nao é por ai @felipeneto","@Felipeneto I find unnecessary the indirect of @Felipeneto to @Whindersson, as ""Take care of your health"", ""therapy"" and so on.Today, on September 10, it is the World Day of Suicide Prevention.
Word hard to talk, right?!But this matter is necessary and urgent, it is not by there @felipeneto",pos
"rt @sunmiike: toda hora que penso sobre futuro só consigo pensar em prostituição, tráfico ou suicídio","RT @sunmiike: All the time I think about future I can only think of prostitution, trafficking or suicide",neg
setembro ta sendo um dos meses q eu to mais pensando em suicídio,September is one of the months I'm more thinking about suicide,pos
tenho pensado em suicídio nos últimos dias,I have thought of suicide in recent days,pos
"@rconstantino ""pois é assim que o suicídio de uma nação se inicia: quando o sentimentalismo prevalece sobre a razão.""

 roger scruton","@RConstantino ""For this is how suicide of a nation begins: when sentimentality prevails over reason.""

 Roger Scruton",neg
"rt @lucianopelissa1: @gen_heleno general, ouvindo esse amontoado de besteira, sinto um profundo desespero em pensar na possibilidade da for…","RT @ lucianelissa1: @gen_heleno general, listening to this bullshit heap, I feel a deep despair in thinking about the possibility of ...",pos
"vontade daquilo que começa com s😈🤭🥴🤪😏🥵

suicídio","willingness of what begins with S😈🤭🥴🤪😏🥵

suicide",pos
não gente essa disney é muito canalha ela acha que eu vou tá viva ora ver a minha princesa favorita nas telonas ? melhor prevenção de suicídio mas avisa pro planeta não morrer até lá https://t.co/xbthcs29om,No people this disney is very scent she thinks I'm going to be alive now seeing my favorite princess on the big screen?Better suicide prevention but warns the planet not to die up there https://t.co/xbthcs29om,pos
rt @comculturaearte: hoje é dia mundial da prevenção do suicídio. e nunca é demais recordar as linhas de apoio e prevenção ao suicídio em p…,RT @comcultureArte: Today is World Suicide Prevention Day.And it is never too much to recall the lines of support and prevention of suicide in p ...,pos
"rt @_heloisa_helena: solidariedade em amor, na hora da imensa dor! é o mais belo significado do setembro amarelo. #suicidionãoéfrescura #su…","rt @_heloisa_helena: solidarity in love, at the time of the immense pain!It is the most beautiful meaning of yellow September.# suicidionãoéffresecura # su ...",pos
"@temponi_rafa fui ler e além do acontecimento de cometer suicídio do título, os pais não aceitaram a filha de volta em casa pq não queriam ficar mal falados
meu deus","@temponi_rafa I went to read and beyond the event to commit suicide of the title, parents did not accept the daughter back at home because they did not want to be badly spoken
my God",pos
"rt @vlobo35: eu só gostava de saber o que é que vai na cabeça das pessoas para reagirem com riso a uma notícia cujo título é ""jovens homoss…","rt @ vlobo35: I just liked to know what is going on people's head to react with laughter to a news whose title is ""young homoss ...",pos
"rt @comentatita: hoje é dia mundial de prevenção ao suicídio. então vamos de trazer coisa inútil, no mês do setembro amarelo, que tem como…","RT @Comentatita: Today is World Day of Suicide Prevention.So let's bring useless things, in the month of yellow September, it's like ...",pos
"rt @nacoesunidas: 10 de setembro é o dia de prevenção ao suicídio.

saiba mais sobre este problema de saúde pública e o que você pode fazer…","RT @nacoesunidas: September 10 is the day of suicide prevention.

Learn more about this public health problem and what you can do ...",neg
@isukunaz suicídio,@isukunaz suicide,pos
"ok, essa propaganda foi bem interessante, ainda mais na trolagem no começo kkk

mas sim, estamos no setembro amarelo. temos que combater o suicídio. 👀🌟 https://t.co/6d5jjmiggi","Okay, this propaganda was very interesting, even more in the beginning at the beginning kkk

But yes, we are in the yellow September.We have to fight suicide.👀🌟 https://t.co/6d5jmiggi",neg
"hoje, dia 10 de setembro, é o dia mundial de prevenção ao suicídio. todos os anos são mais de 1 milhão de suicídios no mundo e 13 mil somente no brasil, se tornando muito grave e importante debater sobre este assunto.

você não está sozinho, falar é a melhor solução! 💛🎗️ https://t.co/wji5ei6cag","Today, on September 10, it is the World Day of Suicide Prevention.Every year are more than 1 million suicides in the world and 13 thousand only in Brazil, becoming very serious and important to debate on this subject.

You are not alone, speak is the best solution!💛🎗️ https://t.co/wji5e6cag",pos
"rt @corinthians: 10 de setembro é o dia mundial de prevenção ao suicídio #setembroamarelo

de acordo com a oms, a cada 40 segundos uma pess…","RT @corinthians: September 10 is World Subicide Prevention Day #SetememberAmarelo

According to WHO, every 40 seconds a pess ...",neg
rt @eduardoleite_: acabo de sancionar o projeto de lei que institui a campanha setembro amarelo e o dia estadual de prevenção ao suicídio.…,RT @eduardleite_: I have just sanctioned the bill that instituted the yellow September campaign and the state day for suicide prevention. ...,pos
"rt @cruzeiro: a cada 40 segundos, morre uma pessoa por suicídio no mundo. só no brasil, são 32 pessoas por dia.

sempre pergunte para quem…","RT @Cruzeiro: Every 40 seconds, a person per suicide dies in the world.Only in Brazil, there are 32 people a day.

Always ask who ...",pos
rt @avanci83: no dia mundial de prevenção ao suicídio relembro das vezes que tentei me matar e na frequência enorme em que penso sobre ir e…,RT @ AVANCI83: On World Prevention Day to Suicide I remember the times I tried to kill myself and the huge frequency in which I think about going and ...,neg
"rt @esaufernandess: sou contra o suicídio, mas se for o meu eu sou a favor","rt @esaufernandess: I am against suicide, but if it is mine I am in favor",neg
"rt @cruzeiro: mudamos as nossas cores para lembrar que estamos no #setembroamarelo

e que hoje, dia 10/09, é o dia mundial de prevenção ao…","RT @Cruzeiro: We changed our colors to remember that we are in #SetemememberAmarelo

And that today, 10/09, it is the World Prevention Day for ...",pos
"rt @justicagovbr: hoje é o dia mundial de combate ao suicídio, uma data que integra a campanha #setembroamarelo. com foco na saúde dos prof…","RT @justicagovbr: Today is the World Day to Combat Suicide, a date that integrates the campaign #EvemberAmarelo.With focus on the health of prof ...",pos
rt @tainahnegreiros: rever matrix e lembrar do quase suicídio da lana na juventude. ela ia se atirar na linha do metrô e uma pessoa saiu do…,RT @tainahnegreiros: Review Matrix and remember the almost suicide of Lana in youth.She was going to throw himself on the subway line and a person left ...,neg
"rt @acsmaua: combate ao suicídio na adolescência
vem assistir a live com a gente!
https://t.co/7j0q2n0niu https://t.co/gnlxl1zlym","RT @acsmaua: Combating suicide in adolescence
Come watch Live with us!
https://t.co/7j0q2n0niu https://t.co/gnlxl1zlym",pos
"@gen_heleno general, ouvindo esse amontoado de besteira, sinto um profundo desespero em pensar na possibilidade da formação dos militares ser tão deficitária a ponto de produzir uma figura tão melancólica como o senhor. armas nas mãos de gente como o senhor é o suicídio da nação.","@Gen_Heleno General, listening to this bullshit heap, I feel a deep despair in thinking about the possibility of the training of the military to be so deficient to the point of producing such a melancholy figure as the Lord.Weapons in the hands of people as the Lord is the suicide of the nation.",pos
ja to vendo eu cometendo suicídio e essa facul ter sido em vão,I already see I commit suicide and this facul was in vain,neg
"porra, o que caso de suicídio entre adolescente ecoa na minha mente e tira o sal do resto do dia, fica reverberando não é brincadeira não viu? 😕😕","Damn, what case of suicide between teenager echoes in my mind and takes the salt of the rest of the day, reverberating is not a joke did not see?😕😕",pos
@arlleee stembro amarelo nao eh pra incentivar o suicídio?😁😁,@arlleee yellow September is not to encourage suicide? 😁😁,pos
"e nos cartazes de prevenção ao suicídio na minha escola estava escrito várias frases... e uma delas eram:

""não se mate, amanhã tem jogo do curintia""","And in the posters of suicide prevention at my school was written several phrases ... and one of them were:

""Do not kill yourself, tomorrow has a game of Curintia""",pos
"rt @minersgg: hoje é o dia mundial de prevenção ao suicídio, da campanha #setembroamarelo

“falar é a melhor solução” é o slogan da campanh…","RT @minersgg: Today is the World Daily Prevention of Suicide, the campaign #SetememberAmarelo

""Speaking is the best solution"" is the Slogan of the Campain ...",pos
"@psicologa_louca caralho, parece uma frase pra apoiar o suicídio kkkkkkk","@psychologa_louca fucking, looks like a phrase to support suicide kkkkkkk",neg
rt @tpineapplemind: no dia mundial da prevenção do suicídio deixamos-te linhas de apoio que podes recorrer caso precises de ajuda! partilha…,RT @tpineapplemind: On World Suicide Prevention Day we leave you support lines that you can resort if you need help!Share ...,pos
@trajaza preveja meu suicídio por favor a vida tá uma porcaria,@Trajaza Predict my suicide please life is crap,neg
"rt @cvvoficial: valorizar a vida é prevenir o suicídio. vamos juntos nesse movimento...
e se precisar de apoio emocional, #ligue188 ou aces…","RT @cvovoficial: Valuing life is to prevent suicide.Let's go together in this movement ...
And if you need emotional support, # Ligue188 or Aces ...",pos
"dia mundial de prevenção ao suicídio!
uma data muito importante para a conscientização de todos.
📌prevenção deve ser o ano todo!🎗️
tive a grande honra de contribuir com essa maravilhosa entrevista ao lado do
@blxckoutz confira a entrevista na íntegra no @gesports https://t.co/bcofrwpfwa","World Suicide Prevention Day!
A very important date for everyone's awareness.
📌Ware should be all year! 🎗️
I had the great honor to contribute to this wonderful interview with the
@blxckoutz Check out the right interview at @gesports https://t.co/BCofRwpfwa",pos
bilada me mandando textao pq falei em suicidio mesmo nao tendo sido serio eu amo mt mt ele,bilada sending me text because I spoke in suicide even not having been serious I love mt mt it,pos
"compartilhando esse conteúdo (feito com muito carinho) sobre a campanha setembro amarelo, com informações super importantes sobre prevenção ao suicídio, cuidados e formas de buscar de ajuda 💛

#setembroamarelo 
#diamundialdeprevencaoaosuicidio https://t.co/8u95usy2bv","sharing this content (done with a lot of affection) on the yellow September campaign, with super important information on suicide prevention, care and ways to seek help 💛

#Setembourel
#diamundialdeprevencaoaosuicidium https://t.co/8U95USY2BV",pos
sexta-feita com s de suicídio,Friday with suicide s,neg
"rt @tptbrasil: ""eu nunca tinha ouvido nenhum atleta profissional falando sobre saúde mental, e não queria ser o único. não queria parecer f…","RT @tptbrasil: ""I had never heard any professional athlete talking about mental health, and did not want to be the only one. I did not want to look f ...",pos
"@collor senador, fui suspenso ontem de noite porque sugeri o suicídio para o allan dos santos mas já estou reabilitado.","@Collor Senator, I was suspended last night because I suggested suicide to Allan dos Santos but I'm already rehabilitated.",pos
"rt @zebalestre: 10 de setembro
dia mundial da prevenção ao suicídio. 
+1 ano na luta 🎗💛
sua vida importa!!","RT @Zebalestre: September 10
World suicide prevention day.
+1 year in the fight 🎗💛
Your life matters !!",pos
"todo tipo de apoio é uma grande ajuda para o recomeço de alguém. suicídio nunca foi frescura. com depressão ou ansiedade não se brinca. não relute em buscar ajuda pois você não está sozinho nessa luta! não sofra sozinho fale sobre isso e procure ajuda.  💛🎗 #setembroamarelo 
🍀 https://t.co/zyqtv8mofp","All kinds of support is a great help for someone's freshness.Suicide has never been fresh.With depression or anxiety does not play.Do not reluct you to seek help because you are not alone in this fight!Do not suffer alone talk about it and look for help.💛🎗 #Setemand
🍀 https://t.co/zyqtv8mofp",pos
suicídio adiado essa é a coisa mais engraçada que eu vi hoje https://t.co/haaafyga29,Suicide postponed this is the funniest thing I've seen today https://t.co/haaafyga29,pos
trabalho em grupo na faculdade eh 912298383 vezes pior. ja ate vem com gosto de morte e suicídio https://t.co/nnlsqdgojx,Group work in college is 912298383 times worse.Already comes with taste of death and suicide https://t.co/NNLSQDGOJX,pos
"@juliette suicídio é uma questão de saúde pública, com componentes sociais, econômicos, culturais, políticos. por isso, é um fenômeno multifatorial.
precisamos falar sobre isso o ano todo. criar políticas, leis e investimentos em saúde mental com colaboração nos âmbitos público e privado.","@Juliette Suicide is a matter of public health, with social, economic, cultural, political components.Therefore, it is a multifactorial phenomenon.
We need to talk about it all year long.Create policies, laws and investments in mental health with collaboration in the public and private spheres.",pos
"// incitação ao suicídio

denunciem, e done dessa pag ( que é anti-mogai) ta direcionando ódio pra um mutual meu  

https://t.co/e16y6y9p3z","// incitement to suicide

denounce, and done from this pag (which is anti-Mogai) is directing hatred for a mutual of mine

https://t.co/e16y6y9p3z",pos
rt @spideyeditss: hoje é o dia mundial em prevenção ao suicídio. eu sei que devemos falar sobre esse tema durante todo o ano e não exclusiv…,RT @SpideYeditss: Today is World Day in Prevention to Suicide.I know we should talk about this theme all year round and not exclusiv ...,pos
"10 de setembro 🎗 dia mundial de prevenção ao suicídio

1/4 jovens entre 18 e 24 anos considerou seriamente suicídio nos últimos 30 dias. 

toda vida importa. #setembroamarelo","September 10 🎗 World Suicide Prevention Day

1/4 young people between 18 and 24 years seriously considered suicide in the last 30 days.

Every life matters.#Setembourel",pos
"combate ao suicídio na adolescência
vem assistir a live com a gente!
https://t.co/7j0q2n0niu https://t.co/gnlxl1zlym","Combating suicide in adolescence
Come watch Live with us!
https://t.co/7j0q2n0niu https://t.co/gnlxl1zlym",pos
vou pros lençóis maranhenses em outubro não sei o que é tristeza amo minha vida e nunca pensei em suicidio,I'm going to the Lençóis Maranhenses in October I do not know what sadness is love my life and I never thought about suicide,pos
@hyinpallet pensa e sente igual .. a gente vai fazer um suicídio duplo (amou dazai ?,@hyinpallet thinks and feels the same .. Are we going to make a double suicide (loved Dazai?,pos
"rt @bandnewsfmrio: mais de 12 mil jovens são internados após tentativas de suicídio em 10 anos.  vulnerabilidade no lar, como violência, fa…","RT @BandNewsFMR: More than 12,000 young people are hospitalized after suicide attempts at 10 years.Vulnerability in the home, as violence, fa ...",pos
"rt @sitemundonegro: bom dia, comunidade! dia mundial de prevenção ao suicídio deve começar com um importante recado do @tonigarridooficial…","RT @sitemunderegro: Good morning, community!World suicide prevention day should start with an important message from @ tonigarridoficial ...",pos
rt @saude_rio: pessoas que estão à nossa volta podem estar com algum tipo de sofrimento mental sem percebermos ou sabermos como lidar com a…,RT @saude_rio: People who are around us may be with some kind of mental suffering without realizing or knowing how to deal with ...,pos
"@alvarodias_ não. olho no pt. os votos mais fiéis são do pt, dividir contra o pt é suicídio.","@alvarodias_ No.I look at the PT.The most faithful votes are of the PT, divide against the PT is suicide.",pos
@lizdofuturo hahahahaahahahshshaha piada com suicídio hahahahahshshs,@lizdofuturo hahahahahahahshshaha joke with suicide hahahahahshshs,neg
"+ hoje, 10/09 dia mundial da prevenção ao suicídio. e ter uma aula como essa, mostra exatamente o motivo do porque cursar essa profissão tão linda, importante e essencial ❤️

sua mente, seus sentimentos, seu corpo, tudo isso é seu templo, cuide dele! procure ajuda ! 🖤","+ Today, 10/09 World Day of Suicide Prevention.and having a class like this, shows exactly the reason why bonding this beautiful, important and essential profession ️️

Your mind, your feelings, your body, all this is your temple, take care of it!Look for help!🖤",pos
rt @southaferreira: você sabia que hoje é o #diamundialdeprevençãoaosuicído? você sabia que o racismo é reconhecido pelo ministério da saúd…,RT @SouthAferreira: Did you know that today is the # diamundialDerdevoreAsuicide?Did you know that racism is recognized by the Ministry of Saúd ...,pos
"rt @fernandaimamura: nesse dia mundial de prevenção ao suicídio é importante lembrar que ouvir e acolher quem você ama é importante, mas qu…","RT @fernandaimamura: On this world day of suicide prevention it is important to remember that listening and welcoming who you love is important, but that ...",pos
"rt @tracklist: há 1 ano, demi lovato e marshmello se juntavam para lançar a parceria “ok not to be ok” no dia mundial da prevenção ao suicí…","RT @TrackList: 1 year ago, Demi Lovato and Marshmello joined to launch the partnership ""ok not to be ok"" on World Prevention Day to Suicí ...",neg
"rt @filipescarcella: sou pastor de uma igreja que acolhe com igualdade e dignidade pessoas lgbts. por aqui, todo dia é dia de prevenção ao…","RT @FilipipesCarcella: I am a pastor of a church that welcomes equality and dignity people LGBTS.This day, every day is prevention day ...",neg
@athleticopr mês da punheta e do suicídio irmão avacaia mais não,@athleticopr month of punch and suicide brother avacia more,pos
rt @gataabusadalua: sextou com s de suicídio,RT @gataabusadalua: Sextound with suicide,pos
"ação da juv para sensibilizar sobre o setembro amarelo, mês de prevenção do suicídio https://t.co/fzt9rrb7zh","JUV action to raise awareness about September yellow, suicide prevention month https://t.co/fzt9rrb7zh",pos
"rt @negrali: você sabia que a cada 40 segundos no brasil uma pessoa perde a vida para o suicídio? 
hoje é o dia mundial da prevenção ao sui…","RT @Negrali: Did you know that every 40 seconds in Brazil a person loses life for suicide?
Today is the World Day of Prevention to Sui ...",neg
"rt @fiocruz: hoje (10/9) o castelo da #fiocruz estará iluminado em amarelo pelo dia mundial de prevenção ao suicídio.

#setembroamarelo htt…","RT @fiocruz: Today (10/9) #fiocruz Castle will be illuminated in yellow for World Suicide Prevention Day.

#SetembramAmarelo HTT ...",pos
"@andyzocah chega a ser assustador o que fazem em algumas instituições, abusos psicológicos e físicos, o pior é que alguns professores incentivam essas práticas e os alunos que denunciam sofrem de um suicídio social do resto da galera","@Andyzocah comes to be scary what they do in some institutions, psychological and physical abuses, the worst thing is that some teachers encourage these practices and the students who denounce suffer from a social suicide of the rest of the guys",neg
"rt @kampjogg: hoje dia 10 de setembro é o dia mundial de prevenção ao suicídio.

no brasil, todos os dias cerca de 32 pessoas dão fim a pró…","RT @kampjogg: Today on 10 September is World Suicide Prevention Day.

In Brazil, every day about 32 people give an end to pro ...",pos
setembro amarelo com s de suicídio 💛,September yellow with suicide s 💛,pos
"@juliette o suicídio e sua prevenção muitas vezes levadas em um âmbito muito pessoal (vezes na linha do ""esforço"" próprio para ""superar"" transtornos psicológicos; vezes na linha, ainda, da ""falta de deus""). tais discursos são extremamente equivocados e perigosos. + https://t.co/pewuou3agr","@Juliette suicide and its prevention often carried in a very personal scope (times in the line of its own ""effort"" to ""overcome"" psychological disorders; times in line, still, of the ""lack of God"").Such discourses are extremely wrong and dangerous.+ https://t.co/pewuou3agr",pos
"rt @dannlelis: nós precisamos falar de suicídio. segundo os bombeiros, 87 pessoas tentaram tirar a própria vida este ano no tocantins. 10,…","RT @dannlelis: We need to talk about suicide.According to firefighters, 87 people tried to take their own life this year at Tocantins.10, ...",neg
